"occupation_code","wfh_exposure","beta_j","se_j"
41,0.0981373366694468,-0.0239118373616245,0.018859824852662
23,0.0690073373355163,2.17803202664513e-05,0.008850361162148
12,0.143074581430746,-0.0102499670846452,0.0226608251704117
11,0.155409115870401,-0.0281434816976907,0.0294283610111709
24,0.233084674780788,0.0203859493354654,0.0152574787142592
14,0.0657184894556155,0.0488976006725705,0.0503483610349922
25,0.360383693045564,0.000453222873775694,0.0172003642725191
33,0.122963610261532,0.00788684148966645,0.0092649194654173
44,0.0831099195710456,0.0217098358600958,0.0482130399704657
13,0.0969617676987934,0.0195071340056003,0.0176582678095241
35,0.75,-0.00466178328003242,0.0498258256345188
26,0.677966101694915,-0.0115205083654413,0.0124601978536954
43,0.526315789473684,-0.001313738212672,0.0240435986594176
34,0.576923076923077,-0.0145026671956971,0.0213984338377656
21,0.64367816091954,-0.0206764609294341,0.0147856567985633
53,0.3,-0.00529847914981785,0.0105023200087939
83,0.236842105263158,0.0542113227499232,0.168307907958907
96,0.25,0.068853010535733,0.16750313905106
42,0.291666666666667,0.00559802591664127,0.0252793960683779
61,0.181818181818182,0.0789029323963284,0.110744134078622
52,0.2,-0.00945200399240864,0.0199123689564265
51,0.270833333333333,0.0405995918215085,0.0209268870535014
93,0.12,0.00968728489936943,0.0482582699737025
54,0.1,0.0785799027122782,0.0526072998514765
31,0.143939393939394,-0.0342278101384323,0.0296810025946439
75,0.0731707317073171,-0.00320033065253655,0.0409916634101682
22,0.101449275362319,-0.019493401068245,0.00988686266256789
32,0.0566037735849057,0.0368445271641882,0.0261307253121345
74,0,0.0313350243405708,0.223050594444501
73,0.137931034482759,-0.0559529493907744,0.102509127078822
81,0,-0.0396549998070301,0.0595362696988678
71,0.027027027027027,-0.032427370454382,0.223618372857632
94,0,-0.00212247413589406,0.0830791406331371
82,0,0.0142354914921103,0.0491254154344609
72,0,0.130662303347399,0.0983346519299132
92,0,-0.193595189578637,0.137220264874382
91,0,0.0111548152985397,0.0263112446823122
